drug_name,target
ziprasidone,Muscarinic acetylcholine receptor M3 antagonist
ziprasidone,Muscarinic acetylcholine receptor M3 agonist
ziprasidone,Muscarinic acetylcholine receptor M4 antagonist
ziprasidone,Muscarinic acetylcholine receptor M5 antagonist
methysergide,5-hydroxytryptamine receptor 2B antagonist
methysergide,5-hydroxytryptamine receptor 2B agonist
methysergide,5-hydroxytryptamine receptor 2B binder
methysergide,5-hydroxytryptamine receptor 2C antagonist
methysergide,5-hydroxytryptamine receptor 2C agonist
methysergide,5-hydroxytryptamine receptor 2C binder
methysergide,5-hydroxytryptamine receptor 2A antagonist
methysergide,5-hydroxytryptamine receptor 2A agonist
methysergide,5-hydroxytryptamine receptor 2A binder
methysergide,5-hydroxytryptamine receptor 1A antagonist
methysergide,5-hydroxytryptamine receptor 1A agonist
methysergide,5-hydroxytryptamine receptor 1A binder
methysergide,5-hydroxytryptamine receptor 7 antagonist
methysergide,5-hydroxytryptamine receptor 7 agonist
methysergide,5-hydroxytryptamine receptor 7 binder
methysergide,5-hydroxytryptamine receptor 1B antagonist
methysergide,5-hydroxytryptamine receptor 1B agonist
methysergide,5-hydroxytryptamine receptor 1F agonist
methysergide,5-hydroxytryptamine receptor 1E antagonist
cabergoline,Dopamine D2 receptor agonist
cabergoline,Dopamine D2 receptor antagonist
cabergoline,Dopamine D2 receptor binder
cabergoline,5-hydroxytryptamine receptor 2B agonist
cabergoline,5-hydroxytryptamine receptor 2B antagonist
cabergoline,5-hydroxytryptamine receptor 2B binder
cabergoline,Dopamine D3 receptor agonist
cabergoline,Dopamine D3 receptor antagonist
cabergoline,Dopamine D3 receptor binder
cabergoline,5-hydroxytryptamine receptor 2A agonist
cabergoline,5-hydroxytryptamine receptor 2A antagonist
cabergoline,5-hydroxytryptamine receptor 2A binder
cabergoline,Alpha-2B adrenergic receptor agonist
cabergoline,Alpha-2B adrenergic receptor antagonist
cabergoline,Alpha-2B adrenergic receptor binder
cabergoline,5-hydroxytryptamine receptor 1D agonist
cabergoline,5-hydroxytryptamine receptor 1D antagonist
cabergoline,Dopamine D4 receptor agonist
cabergoline,Dopamine D4 receptor antagonist
cabergoline,Alpha-2A adrenergic receptor agonist
cabergoline,Alpha-2A adrenergic receptor antagonist
cabergoline,Alpha-2A adrenergic receptor binder
cabergoline,5-hydroxytryptamine receptor 1A agonist
cabergoline,5-hydroxytryptamine receptor 1A antagonist
cabergoline,5-hydroxytryptamine receptor 1A binder
cabergoline,Alpha-2C adrenergic receptor agonist
cabergoline,Alpha-2C adrenergic receptor antagonist
cabergoline,Dopamine D5 receptor agonist
cabergoline,Dopamine D5 receptor antagonist
cabergoline,Dopamine D1 receptor agonist
cabergoline,Dopamine D1 receptor antagonist
cabergoline,5-hydroxytryptamine receptor 1B agonist
cabergoline,5-hydroxytryptamine receptor 1B antagonist
cabergoline,5-hydroxytryptamine receptor 2C agonist
cabergoline,5-hydroxytryptamine receptor 2C antagonist
cabergoline,5-hydroxytryptamine receptor 2C binder
cabergoline,5-hydroxytryptamine receptor 7 agonist
cabergoline,5-hydroxytryptamine receptor 7 antagonist
cabergoline,5-hydroxytryptamine receptor 7 binder
cabergoline,Alpha-1A adrenergic receptor agonist
cabergoline,Alpha-1A adrenergic receptor antagonist
cabergoline,Alpha-1A adrenergic receptor binder
cabergoline,Alpha-1B adrenergic receptor agonist
cabergoline,Alpha-1B adrenergic receptor antagonist
cabergoline,Alpha-1B adrenergic receptor binder
cabergoline,Alpha-1D adrenergic receptor agonist
cabergoline,Alpha-1D adrenergic receptor antagonist
cabergoline,Alpha-1D adrenergic receptor binder
cabergoline,Beta-1 adrenergic receptor agonist
cabergoline,Beta-1 adrenergic receptor antagonist
cabergoline,Beta-2 adrenergic receptor agonist
cabergoline,Beta-2 adrenergic receptor antagonist
cabergoline,D(1) dopamine receptor agonist
cabergoline,D(1) dopamine receptor antagonist
cabergoline,D(1) dopamine receptor binder
phenytoin,Sodium channel protein type 5 subunit alpha inhibitor
phenytoin,Nuclear receptor subfamily 1 group I member 2 inhibitor
phenytoin,Potassium voltage-gated channel subfamily H member 2 inhibitor
phenytoin,GABA(A) Receptor inhibitor
anagrelide,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A inhibitor"
metoprolol,Beta-1 adrenergic receptor antagonist
metoprolol,Beta-2 adrenergic receptor antagonist
ropinirole,Dopamine D3 receptor agonist
ropinirole,Dopamine D3 receptor antagonist
ropinirole,Dopamine D4 receptor agonist
ropinirole,Dopamine D4 receptor antagonist
ropinirole,Dopamine D2 receptor agonist
ropinirole,Dopamine D2 receptor antagonist
isradipine,Voltage-dependent L-type calcium channel subunit alpha-1C inhibitor
isradipine,Voltage-dependent calcium channel subunit alpha-2/delta-1 inhibitor
isradipine,Voltage-dependent L-type calcium channel subunit beta-2 inhibitor
isradipine,Voltage-dependent L-type calcium channel subunit alpha-1D inhibitor
isradipine,Voltage-dependent L-type calcium channel subunit alpha-1S inhibitor
topiramate,Gamma-aminobutyric acid receptor subunit alpha-1 agonist
topiramate,Gamma-aminobutyric acid receptor subunit alpha-1 antagonist
topiramate,Carbonic anhydrase 2 inhibitor
topiramate,Carbonic anhydrase 1 inhibitor
topiramate,Carbonic anhydrase 3 inhibitor
olmesartan,Type-1 angiotensin II receptor antagonist
amsacrine,DNA inhibitor
amsacrine,DNA topoisomerase 2-alpha inhibitor
amsacrine,Potassium voltage-gated channel subfamily H member 2 inhibitor
theophylline,Adenosine receptor A1 antagonist
theophylline,Adenosine receptor A1 inhibitor
theophylline,"cGMP-specific 3',5'-cyclic phosphodiesterase inhibitor"
theophylline,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A inhibitor"
theophylline,Histone deacetylase 2 inhibitor
disopyramide,Sodium channel protein type 5 subunit alpha inhibitor
disopyramide,Muscarinic acetylcholine receptor M1 inhibitor
disopyramide,Muscarinic acetylcholine receptor M1 antagonist
disopyramide,Muscarinic acetylcholine receptor M2 inhibitor
disopyramide,Muscarinic acetylcholine receptor M2 antagonist
disopyramide,Muscarinic acetylcholine receptor M3 inhibitor
disopyramide,Muscarinic acetylcholine receptor M3 antagonist
disopyramide,Potassium voltage-gated channel subfamily H member 2 inhibitor
disopyramide,Potassium voltage-gated channel subfamily H member 2 antagonist
lidocaine,Sodium channel protein type 10 subunit alpha inhibitor
lidocaine,Sodium channel protein type 5 subunit alpha inhibitor
clemastine,Histamine H1 receptor antagonist
venlafaxine,Sodium-dependent serotonin transporter inhibitor
venlafaxine,Sodium-dependent noradrenaline transporter inhibitor
venlafaxine,Sodium-dependent dopamine transporter inhibitor
atomoxetine,Sodium-dependent noradrenaline transporter inhibitor
atomoxetine,Sodium-dependent noradrenaline transporter binder
atomoxetine,Sodium-dependent serotonin transporter inhibitor
atomoxetine,Sodium-dependent serotonin transporter binder
atomoxetine,Kappa-type opioid receptor inhibitor
atomoxetine,Kappa-type opioid receptor binder
atomoxetine,Kappa-type opioid receptor partial agonist
bleomycin,DNA inhibitor
etomidate,Gamma-aminobutyric acid receptor subunit alpha-1 agonist
etomidate,Alpha-2B adrenergic receptor agonist
etomidate,GABA(A) Receptor agonist
raltitrexed,Thymidylate synthase inhibitor
morphine,Mu-type opioid receptor agonist
morphine,Kappa-type opioid receptor agonist
morphine,Delta-type opioid receptor agonist
ropivacaine,Sodium channel protein type 10 subunit alpha inhibitor
bupivacaine,Sodium channel protein type 10 subunit alpha inhibitor
penciclovir,DNA polymerase catalytic subunit inhibitor
ibutilide,Voltage-dependent L-type calcium channel subunit alpha-1C inhibitor
ibutilide,Potassium voltage-gated channel subfamily H member 2 inhibitor
ibutilide,Voltage-dependent calcium channel subunit alpha-2/delta-1 inhibitor
pentobarbital,Gamma-aminobutyric acid receptor subunit alpha-1 potentiator
pentobarbital,Gamma-aminobutyric acid receptor subunit alpha-1 antagonist
pentobarbital,Neuronal acetylcholine receptor subunit alpha-4 antagonist
pentobarbital,Neuronal acetylcholine receptor subunit alpha-7 antagonist
pentobarbital,GABA(A) Receptor antagonist
zolmitriptan,5-hydroxytryptamine receptor 1B agonist
zolmitriptan,5-hydroxytryptamine receptor 1D agonist
zolmitriptan,5-hydroxytryptamine receptor 1F agonist
zolmitriptan,5-hydroxytryptamine receptor 7 agonist
zolmitriptan,5-hydroxytryptamine receptor 1A agonist
zolmitriptan,5-hydroxytryptamine receptor 2A agonist
zolmitriptan,5-hydroxytryptamine receptor 2B agonist
acetaminophen,Prostaglandin G/H synthase 2 inhibitor
acetaminophen,Prostaglandin G/H synthase 1 inhibitor
codeine,Mu-type opioid receptor agonist
codeine,Kappa-type opioid receptor agonist
codeine,Delta-type opioid receptor agonist
dihydroergotamine,5-hydroxytryptamine receptor 1B agonist
dihydroergotamine,5-hydroxytryptamine receptor 1D agonist
dihydroergotamine,5-hydroxytryptamine receptor 1F agonist
dihydroergotamine,Alpha-2A adrenergic receptor agonist
dihydroergotamine,5-hydroxytryptamine receptor 1A agonist
dihydroergotamine,5-hydroxytryptamine receptor 2A agonist
dihydroergotamine,5-hydroxytryptamine receptor 2B agonist
dihydroergotamine,5-hydroxytryptamine receptor 2C agonist
dihydroergotamine,Alpha-1 adrenergic receptors agonist
dihydroergotamine,Alpha-2 adrenergic receptors agonist
dihydroergotamine,Dopamine D2 receptor agonist
dihydroergotamine,Dopamine D3 receptor agonist
dihydroergotamine,Dopamine D4 receptor agonist
dihydroergotamine,Beta-3 adrenergic receptor agonist
amitriptyline,Sodium-dependent noradrenaline transporter inhibitor
amitriptyline,Sodium-dependent noradrenaline transporter antagonist
amitriptyline,Sodium-dependent noradrenaline transporter agonist
amitriptyline,Sodium-dependent noradrenaline transporter binder
amitriptyline,Sodium-dependent serotonin transporter inhibitor
amitriptyline,Sodium-dependent serotonin transporter antagonist
amitriptyline,Sodium-dependent serotonin transporter agonist
amitriptyline,Sodium-dependent serotonin transporter binder
amitriptyline,5-hydroxytryptamine receptor 2A inhibitor
amitriptyline,5-hydroxytryptamine receptor 2A antagonist
amitriptyline,5-hydroxytryptamine receptor 2A agonist
amitriptyline,5-hydroxytryptamine receptor 2A binder
amitriptyline,5-hydroxytryptamine receptor 1A inhibitor
amitriptyline,5-hydroxytryptamine receptor 1A antagonist
amitriptyline,5-hydroxytryptamine receptor 1A agonist
amitriptyline,5-hydroxytryptamine receptor 1A binder
amitriptyline,Delta-type opioid receptor antagonist
amitriptyline,Delta-type opioid receptor agonist
amitriptyline,Kappa-type opioid receptor inhibitor
amitriptyline,Kappa-type opioid receptor antagonist
amitriptyline,Kappa-type opioid receptor agonist
amitriptyline,Kappa-type opioid receptor binder
amitriptyline,Alpha-1A adrenergic receptor inhibitor
amitriptyline,Alpha-1A adrenergic receptor antagonist
amitriptyline,Alpha-1A adrenergic receptor agonist
amitriptyline,Alpha-1A adrenergic receptor binder
amitriptyline,Alpha-1D adrenergic receptor inhibitor
amitriptyline,Alpha-1D adrenergic receptor antagonist
amitriptyline,Alpha-1D adrenergic receptor agonist
amitriptyline,Alpha-1D adrenergic receptor binder
amitriptyline,Alpha-2A adrenergic receptor inhibitor
amitriptyline,Alpha-2A adrenergic receptor antagonist
amitriptyline,Alpha-2A adrenergic receptor agonist
amitriptyline,Alpha-2A adrenergic receptor binder
amitriptyline,Histamine H1 receptor inhibitor
amitriptyline,Histamine H1 receptor antagonist
amitriptyline,Histamine H1 receptor agonist
amitriptyline,Histamine H1 receptor binder
amitriptyline,Histamine H2 receptor antagonist
amitriptyline,Histamine H4 receptor antagonist
amitriptyline,Histamine H4 receptor binder
amitriptyline,5-hydroxytryptamine receptor 2C inhibitor
amitriptyline,5-hydroxytryptamine receptor 2C antagonist
amitriptyline,5-hydroxytryptamine receptor 2C agonist
amitriptyline,5-hydroxytryptamine receptor 2C binder
amitriptyline,Alpha-1B adrenergic receptor inhibitor
amitriptyline,Alpha-1B adrenergic receptor antagonist
amitriptyline,Alpha-1B adrenergic receptor agonist
amitriptyline,Alpha-1B adrenergic receptor binder
amitriptyline,5-hydroxytryptamine receptor 7 inhibitor
amitriptyline,5-hydroxytryptamine receptor 7 antagonist
amitriptyline,5-hydroxytryptamine receptor 7 agonist
amitriptyline,5-hydroxytryptamine receptor 7 binder
amitriptyline,5-hydroxytryptamine receptor 1D antagonist
amitriptyline,5-hydroxytryptamine receptor 1D agonist
amitriptyline,Mu-type opioid receptor inhibitor
amitriptyline,Mu-type opioid receptor antagonist
amitriptyline,Mu-type opioid receptor agonist
amitriptyline,5-hydroxytryptamine receptor 1B antagonist
amitriptyline,5-hydroxytryptamine receptor 1B agonist
amitriptyline,5-hydroxytryptamine receptor 6 inhibitor
amitriptyline,5-hydroxytryptamine receptor 6 antagonist
amitriptyline,5-hydroxytryptamine receptor 6 binder
amitriptyline,Muscarinic acetylcholine receptor inhibitor
amitriptyline,Muscarinic acetylcholine receptor antagonist
amitriptyline,Muscarinic acetylcholine receptor binder
hydromorphone,Mu-type opioid receptor agonist
hydromorphone,Delta-type opioid receptor agonist
hydromorphone,Kappa-type opioid receptor agonist
hydromorphone,Kappa-type opioid receptor partial agonist
indomethacin,Prostaglandin G/H synthase 1 inhibitor
indomethacin,Prostaglandin G/H synthase 2 inhibitor
indomethacin,Peroxisome proliferator-activated receptor gamma inhibitor
indomethacin,Peroxisome proliferator-activated receptor gamma agonist
indomethacin,Peroxisome proliferator-activated receptor alpha inhibitor
indomethacin,Peroxisome proliferator-activated receptor alpha agonist
ipratropium,Muscarinic acetylcholine receptor M1 antagonist
ipratropium,Muscarinic acetylcholine receptor M2 antagonist
ipratropium,Muscarinic acetylcholine receptor M3 antagonist
methadone,Mu-type opioid receptor agonist
methadone,Mu-type opioid receptor antagonist
methadone,Delta-type opioid receptor agonist
methadone,Delta-type opioid receptor antagonist
methadone,5-hydroxytryptamine receptor 3A agonist
methadone,5-hydroxytryptamine receptor 3A antagonist
methadone,Neuronal acetylcholine receptor subunit alpha-7 antagonist
methadone,Neuronal acetylcholine receptor subunit alpha-4 agonist
methadone,Neuronal acetylcholine receptor subunit alpha-4 antagonist
olanzapine,5-hydroxytryptamine receptor 2A antagonist
olanzapine,5-hydroxytryptamine receptor 2A inhibitor
olanzapine,Dopamine D2 receptor antagonist
olanzapine,Dopamine D2 receptor inhibitor
olanzapine,Dopamine D1 receptor antagonist
olanzapine,Dopamine D1 receptor inhibitor
olanzapine,Dopamine D5 receptor antagonist
olanzapine,Dopamine D3 receptor antagonist
olanzapine,Dopamine D3 receptor inhibitor
olanzapine,Dopamine D4 receptor antagonist
olanzapine,5-hydroxytryptamine receptor 2C antagonist
olanzapine,5-hydroxytryptamine receptor 2C inhibitor
olanzapine,5-hydroxytryptamine receptor 3A antagonist
olanzapine,5-hydroxytryptamine receptor 3A inhibitor
olanzapine,5-hydroxytryptamine receptor 6 antagonist
olanzapine,5-hydroxytryptamine receptor 6 inhibitor
olanzapine,Histamine H1 receptor antagonist
olanzapine,Histamine H1 receptor inhibitor
olanzapine,Alpha-1A adrenergic receptor antagonist
olanzapine,Alpha-1A adrenergic receptor inhibitor
olanzapine,Alpha-1B adrenergic receptor antagonist
olanzapine,Alpha-1B adrenergic receptor inhibitor
olanzapine,Muscarinic acetylcholine receptor M1 antagonist
olanzapine,Muscarinic acetylcholine receptor M1 inhibitor
olanzapine,Muscarinic acetylcholine receptor M2 antagonist
olanzapine,Muscarinic acetylcholine receptor M2 inhibitor
olanzapine,Muscarinic acetylcholine receptor M3 antagonist
olanzapine,Muscarinic acetylcholine receptor M3 inhibitor
olanzapine,Muscarinic acetylcholine receptor M4 antagonist
olanzapine,Muscarinic acetylcholine receptor M4 inhibitor
olanzapine,D(1) dopamine receptor antagonist
olanzapine,D(1) dopamine receptor inhibitor
olanzapine,Beta adrenergic receptor inhibitor
atenolol,Beta-1 adrenergic receptor antagonist
atenolol,Beta-2 adrenergic receptor antagonist
cetirizine,Histamine H1 receptor antagonist
protriptyline,Sodium-dependent noradrenaline transporter inhibitor
protriptyline,Sodium-dependent serotonin transporter inhibitor
alfuzosin,Alpha-1A adrenergic receptor antagonist
alfuzosin,Alpha-1B adrenergic receptor antagonist
alfuzosin,Alpha-1D adrenergic receptor antagonist
alfuzosin,Alpha-1 adrenergic receptors antagonist
methylergometrine,Dopamine D1 receptor antagonist
methylergometrine,5-hydroxytryptamine receptor 2B antagonist
clozapine,Dopamine D2 receptor antagonist
clozapine,5-hydroxytryptamine receptor 2A antagonist
clozapine,Dopamine D1 receptor antagonist
clozapine,Dopamine D3 receptor antagonist
clozapine,Dopamine D4 receptor antagonist
clozapine,5-hydroxytryptamine receptor 1A antagonist
clozapine,5-hydroxytryptamine receptor 1B antagonist
clozapine,5-hydroxytryptamine receptor 1D antagonist
clozapine,5-hydroxytryptamine receptor 1E antagonist
clozapine,5-hydroxytryptamine receptor 3A antagonist
clozapine,5-hydroxytryptamine receptor 2C antagonist
clozapine,5-hydroxytryptamine receptor 6 antagonist
clozapine,5-hydroxytryptamine receptor 7 antagonist
clozapine,Histamine H1 receptor antagonist
clozapine,Histamine H4 receptor antagonist
clozapine,Alpha-1A adrenergic receptor antagonist
clozapine,Alpha-1B adrenergic receptor antagonist
clozapine,Alpha-2A adrenergic receptor antagonist
clozapine,Alpha-2B adrenergic receptor antagonist
clozapine,Alpha-2C adrenergic receptor antagonist
clozapine,Muscarinic acetylcholine receptor M1 antagonist
clozapine,Muscarinic acetylcholine receptor M2 antagonist
clozapine,Muscarinic acetylcholine receptor M3 antagonist
clozapine,Muscarinic acetylcholine receptor M4 antagonist
clozapine,Muscarinic acetylcholine receptor M5 antagonist
levonorgestrel,Estrogen receptor alpha inhibitor
levonorgestrel,Androgen receptor inhibitor
norepinephrine,Alpha-1A adrenergic receptor agonist
norepinephrine,Alpha-1A adrenergic receptor inhibitor
norepinephrine,Alpha-1A adrenergic receptor binder
norepinephrine,Alpha-1B adrenergic receptor agonist
norepinephrine,Alpha-1B adrenergic receptor inhibitor
norepinephrine,Alpha-1B adrenergic receptor binder
norepinephrine,Alpha-1D adrenergic receptor agonist
norepinephrine,Alpha-1D adrenergic receptor inhibitor
norepinephrine,Alpha-1D adrenergic receptor binder
norepinephrine,Alpha-2A adrenergic receptor agonist
norepinephrine,Alpha-2A adrenergic receptor inhibitor
norepinephrine,Alpha-2A adrenergic receptor binder
norepinephrine,Alpha-2B adrenergic receptor agonist
norepinephrine,Alpha-2B adrenergic receptor inhibitor
norepinephrine,Alpha-2B adrenergic receptor binder
norepinephrine,Alpha-2C adrenergic receptor agonist
norepinephrine,Alpha-2C adrenergic receptor inhibitor
norepinephrine,Beta-1 adrenergic receptor agonist
norepinephrine,Beta-1 adrenergic receptor inhibitor
norepinephrine,Beta-2 adrenergic receptor agonist
norepinephrine,Beta-2 adrenergic receptor inhibitor
norepinephrine,Beta-3 adrenergic receptor agonist
norepinephrine,Synaptic vesicular amine transporter inhibitor
cidofovir,DNA polymerase catalytic subunit inhibitor
mirtazapine,5-hydroxytryptamine receptor 2A antagonist
mirtazapine,5-hydroxytryptamine receptor 2A agonist
mirtazapine,Alpha-2A adrenergic receptor antagonist
mirtazapine,Alpha-2A adrenergic receptor agonist
mirtazapine,5-hydroxytryptamine receptor 2C antagonist
mirtazapine,5-hydroxytryptamine receptor 2C agonist
mirtazapine,Kappa-type opioid receptor antagonist
mirtazapine,Kappa-type opioid receptor agonist
mirtazapine,Histamine H1 receptor antagonist
mirtazapine,Histamine H1 receptor agonist
mirtazapine,Alpha-1 adrenergic receptors antagonist
mirtazapine,Alpha-1 adrenergic receptors agonist
meprobamate,Gamma-aminobutyric acid receptor subunit alpha-1 agonist
meprobamate,GABA(A) Receptor agonist
timolol,Beta-1 adrenergic receptor antagonist
timolol,Beta-2 adrenergic receptor antagonist
trihexyphenidyl,Muscarinic acetylcholine receptor M1 antagonist
trihexyphenidyl,Muscarinic acetylcholine receptor M2 antagonist
trihexyphenidyl,Muscarinic acetylcholine receptor M3 antagonist
trihexyphenidyl,Muscarinic acetylcholine receptor M4 antagonist
trihexyphenidyl,Muscarinic acetylcholine receptor M5 antagonist
palonosetron,5-hydroxytryptamine receptor 3A antagonist
mexiletine,Sodium channel protein type 5 subunit alpha inhibitor
dexrazoxane,DNA topoisomerase 2-alpha inhibitor
amlodipine,Voltage-dependent L-type calcium channel subunit alpha-1C inhibitor
amlodipine,Carbonic anhydrase 1 inhibitor
phenylephrine,Alpha-1A adrenergic receptor agonist
