Drug_Name,Target,earlist data,oldest date
phenytoin,Bradycardia,"2022, 6, 28","2001, 4, 3"
methylprednisolone,Cardiac arrest,"2022, 11, 23","2000, 4, 25"
methylprednisolone,Cardiac failure congestive,"2022, 11, 8","2015, 1, 24"
methylprednisolone,Myocardial rupture,"2016, 5, 2","2005, 2, 26"
methylprednisolone,Myocardial infarction,"2022, 11, 18","2002, 5, 25"
abacavir,Myocardial infarction,"2022, 8, 25","2008, 4, 5"
acebutolol,Cardiac output decreased,"2001, 2, 17","2001, 2, 17"
acebutolol,Cardiac failure,"2021, 6, 30","2001, 5, 30"
acebutolol,Cardiac failure congestive,"2021, 6, 30","2001, 5, 30"
acebutolol,Bradycardia,"2021, 6, 12","2013, 5, 18"
acetaminophen,Cardiac disorder,"2022, 11, 10","2020, 2, 12"
acetaminophen,Tachycardia,"2022, 8, 27","2002, 3, 6"
methacholine,Cardiac arrest,"2004, 5, 5","2004, 5, 5"
methacholine,Bradycardia,"2021, 10, 21","2000, 9, 8"
acyclovir,Cardiac tamponade,"2002, 6, 6","2002, 6, 6"
acyclovir,Tachycardia,"2022, 4, 13","2004, 7, 14"
salbutamol,Cardiac disorder,"2022, 10, 1","2014, 1, 25"
salbutamol,Cardiac murmur,"2016, 8, 12","2016, 8, 12"
salbutamol,Tachycardia,"2022, 11, 18","2003, 7, 17"
salbutamol,Supraventricular tachycardia,"2021, 12, 8","2000, 12, 8"
salbutamol,Cardiac output increased,"2021, 12, 14","2002, 10, 1"
salbutamol,Cardiac failure high output,"2018, 12, 26","2004, 1, 27"
salbutamol,Myocardial ischaemia,"2022, 7, 26","2001, 7, 28"
salbutamol,Cardiac fibrillation,"2021, 12, 8","2000, 5, 20"
salbutamol,Tachycardia foetal,"2022, 5, 21","2010, 3, 12"
salbutamol,Electrocardiogram ST segment depression,"2016, 5, 1","2016, 5, 1"
salbutamol,Electrocardiogram abnormal,"2022, 4, 8","2000, 6, 8"
salbutamol,Electrocardiogram change,"2022, 8, 5","2001, 2, 7"
alfuzosin,Cardiovascular disorder,"2021, 12, 31","2000, 4, 20"
alfuzosin,Oedema due to cardiac disease,NA,#N/A
alfuzosin,Cardiac disorder,"2021, 12, 31","2005, 5, 21"
alfuzosin,Tachycardia,NA,#N/A
alfuzosin,Ventricular tachycardia,NA,#N/A
alfuzosin,Cardiac fibrillation,NA,#N/A
amantadine,Cardiac arrest,"2022, 8, 3","2001, 6, 29"
amantadine,Cardiac disorder,"2022, 8, 3","2001, 3, 29"
amantadine,Cardiac failure,"2022, 11, 5","2004, 1, 15"
amantadine,Cardiac failure congestive,"2022, 11, 5","2005, 5, 7"
amantadine,Tachycardia,"2021, 7, 1","2000, 1, 11"
theophylline,Cardiac flutter,"2003, 8, 12","2003, 8, 12"
theophylline,Tachycardia,"2022, 9, 20","2000, 1, 14"
theophylline,Sinus tachycardia,"2016, 3, 24","2002, 3, 19"
theophylline,Supraventricular tachycardia,"2021, 4, 16","2001, 3, 7"
theophylline,Multifocal atrial tachycardia,"2000, 1, 13","2000, 1, 13"
theophylline,Atrial tachycardia,"2017, 6, 3","2000, 1, 13"
theophylline,Cardio-respiratory arrest,"2022, 3, 5","2000, 6, 1"
amiodarone,Cardiac arrest,"2022, 11, 28","2018, 12, 1"
amiodarone,Cardiac failure,"2022, 11, 29","2021, 3, 6"
amiodarone,Cardiac failure congestive,"2022, 11, 29","2021, 2, 2"
amiodarone,Paroxysmal ventricular tachycardia,"2022, 9, 2","2001, 2, 15"
amiodarone,Ventricular tachycardia,"2022, 11, 29","2021, 1, 23"
amiodarone,Cardiogenic shock,"2022, 9, 24","2000, 2, 12"
amiodarone,Tachycardia,"2022, 11, 29","2021, 6, 9"
amiodarone,Sinus bradycardia,"2022, 10, 19","2000, 2, 26"
amiodarone,Myocardial ischaemia,"2022, 11, 29","2016, 12, 19"
amiodarone,Electrocardiogram QT prolonged,"2022, 11, 11","2008, 8, 12"
amiodarone,Multifocal ventricular tachycardia,"2022, 9, 3","2003, 6, 26"
amiodarone,Bradycardia,"2022, 11, 24","2011, 10, 25"
amiodarone,Incessant ventricular tachycardia,"2022, 10, 14","2000, 8, 17"
amisulpride,Cardiovascular disorder,"2020, 11, 25","2000, 3, 30"
amisulpride,Cardiac arrest,"2013, 4, 5","2006, 4, 6"
amisulpride,Cardiac disorder,"2022, 6, 14","2002, 5, 3"
amisulpride,Ventricular tachycardia,"2020, 11, 25","2002, 5, 3"
amisulpride,Bradycardia,"2016, 4, 12","2005, 8, 13"
amitriptyline,Myocardial infarction,"2020, 6, 23","2001, 3, 16"
amitriptyline,Tachycardia,"2022, 8, 6","2000, 4, 6"
amitriptyline,Ventricular tachycardia,"2022, 8, 6","2002, 5, 7"
amitriptyline,Electrocardiogram QRS complex,"2021, 3, 4","2013, 9, 24"
amitriptyline,Electrocardiogram QT corrected interval prolonged,"2021, 9, 22","2012, 5, 18"
amitriptyline,Electrocardiogram QT prolonged,"2022, 8, 6","2000, 4, 6"
amitriptyline,Cardiomyopathy,"2015, 10, 4","2005, 7, 26"
amlodipine,Cardiac disorder,"2022, 11, 9","2018, 3, 21"
amlodipine,Cardiac failure congestive,"2022, 11, 9","2014, 3, 14"
amlodipine,Tachycardia,"2022, 8, 16","2000, 6, 22"
amlodipine,Ventricular tachycardia,"2019, 9, 11","2000, 6, 22"
amlodipine,Bradycardia,"2022, 7, 2","2004, 3, 3"
amobarbital,Bradycardia,NA,#N/A
amoxapine,Myocardial infarction,"2004, 11, 24","2004, 11, 24"
amoxapine,Tachycardia,"2015, 5, 30","2015, 5, 30"
amprenavir,Cardiac disorder,"2017, 10, 24","2000, 12, 29"
amprenavir,Myocardial infarction,"2010, 7, 28","2010, 7, 28"
amsacrine,Cardiac disorder,"2022, 3, 31","2001, 5, 29"
amsacrine,Cardiac failure congestive,"2005, 9, 21","2002, 6, 25"
amsacrine,Tachycardia,NA,#N/A
amsacrine,Sinus tachycardia,NA,#N/A
amsacrine,Bradycardia,NA,#N/A
amsacrine,Cardiomyopathy,"2005, 6, 28","2005, 6, 28"
anagrelide,Cardiovascular disorder,"2022, 8, 18","2000, 1, 20"
anagrelide,Cardiac disorder,"2022, 3, 29","2000, 10, 18"
anagrelide,Cardiomegaly,"2014, 4, 5","2014, 4, 5"
anagrelide,Cardiac failure,"2022, 6, 25","2003, 8, 19"
anagrelide,Cardiac failure congestive,"2022, 6, 25","2000, 10, 18"
anagrelide,Myocardial infarction,"2022, 10, 14","2000, 3, 22"
anagrelide,Pericardial effusion,"2022, 1, 11","2022, 1, 11"
anagrelide,Pericarditis,NA,#N/A
anagrelide,Tachycardia,"2022, 6, 25","2001, 3, 16"
anagrelide,Supraventricular tachycardia,"2022, 6, 25","2022, 6, 25"
anagrelide,Ventricular tachycardia,"2018, 2, 14","2018, 2, 14"
anagrelide,Cardiac fibrillation,NA,#N/A
anagrelide,Cardiomyopathy,"2022, 6, 25","2003, 8, 19"
apomorphine,Cardiac failure congestive,"2021, 5, 18","2016, 8, 26"
apraclonidine,Bradycardia,"2008, 3, 19","2008, 3, 19"
atenolol,Cardiac arrest,"2021, 12, 8","2000, 2, 15"
atenolol,Cardiomegaly,"2022, 5, 15","2007, 4, 21"
atenolol,Cardiac failure,"2022, 8, 28","2011, 1, 18"
atenolol,Cardiac failure congestive,"2022, 8, 28","2010, 9, 22"
atenolol,Cardiac septal defect,"2012, 8, 28","2009, 1, 27"
atenolol,Cardiogenic shock,"2020, 4, 21","2000, 8, 6"
atenolol,Tachycardia,"2022, 6, 26","2007, 2, 3"
atenolol,Supraventricular tachycardia,"2022, 6, 25","2000, 12, 8"
atenolol,Ventricular tachycardia,"2022, 6, 26","2000, 3, 23"
atenolol,Bradycardia,"2022, 1, 22","2003, 5, 2"
atenolol,Myocardial reinfarction,"2008, 7, 10","2001, 2, 24"
atenolol,Myocardial infarction,"2022, 7, 26","2010, 3, 13"
azelastine,Tachycardia,"2015, 6, 23","2015, 6, 23"
benzphetamine,Cardiac valve disease,"2001, 2, 24","2001, 2, 24"
benzphetamine,Tachycardia,NA,#N/A
benzphetamine,Cardiomyopathy,NA,#N/A
bepridil,Cardiac disorder,"2022, 11, 25","2004, 8, 27"
bepridil,Cardiac failure,"2022, 11, 25","2000, 5, 3"
bepridil,Sinus tachycardia,"2021, 5, 2","2002, 9, 19"
bepridil,Ventricular tachycardia,"2021, 2, 6","2002, 9, 19"
bepridil,Sinus bradycardia,"2021, 10, 14","2012, 8, 24"
bepridil,Electrocardiogram QT prolonged,"2021, 10, 20","2002, 11, 7"
bepridil,Acute myocardial infarction,"2006, 4, 15","2006, 4, 15"
bepridil,Bradycardia,"2021, 10, 14","2000, 4, 26"
betahistine,Tachycardia,NA,#N/A
dexamethasone,Hypertrophic cardiomyopathy,"2022, 10, 3","2000, 5, 5"
dexamethasone,Cardiac failure congestive,"2022, 12, 6","2020, 3, 21"
dexamethasone,Myocardial rupture,"2021, 7, 26","2003, 11, 5"
dexamethasone,Myocardial infarction,"2022, 12, 2","2002, 5, 2"
betaxolol,Cardiac disorder,"2021, 6, 12","2000, 6, 30"
betaxolol,Cardiac failure,"2021, 6, 30","2000, 6, 30"
betaxolol,Myocardial infarction,"2019, 10, 15","2002, 11, 6"
betaxolol,Tachycardia,"2019, 2, 26","2019, 2, 26"
betaxolol,Cardiac failure acute,"2020, 7, 29","2020, 7, 29"
betaxolol,Bradycardia,"2021, 6, 12","2009, 4, 18"
bethanechol,Reflex tachycardia,NA,#N/A
bethanechol,Tachycardia,"2002, 10, 31","2002, 10, 31"
bicalutamide,Cardiac arrest,NA,#N/A
bicalutamide,Cardiac disorder,"2021, 9, 25","2009, 6, 12"
bicalutamide,Cardiac failure,"2020, 8, 28","2003, 11, 25"
bicalutamide,Cardiac failure congestive,"2020, 8, 28","2003, 11, 25"
bicalutamide,Myocardial infarction,"2017, 6, 25","2012, 5, 31"
bicalutamide,Bradycardia,NA,#N/A
bisoprolol,Cardiac arrest,"2022, 4, 5","2001, 2, 24"
bisoprolol,Cardiac disorder,"2022, 11, 2","2020, 6, 18"
bisoprolol,Cardiac failure,"2022, 11, 29","2019, 12, 6"
bisoprolol,Cardiac failure congestive,"2022, 11, 29","2019, 12, 4"
bisoprolol,Myocardial infarction,"2022, 9, 6","2005, 10, 7"
bisoprolol,Tachycardia,"2022, 7, 9","2000, 6, 1"
bisoprolol,Bradycardia,"2021, 7, 20","2000, 6, 29"
bisoprolol,Cardiomyopathy,"2022, 10, 3","2006, 7, 18"
brimonidine,Cardiac disorder,"2022, 7, 15","2001, 3, 7"
brimonidine,Tachycardia,"2017, 12, 19","2017, 12, 19"
brimonidine,Bradycardia,"2022, 7, 15","2001, 3, 10"
bromocriptine,Cardiac disorder,"2022, 11, 18","2013, 5, 29"
bromocriptine,Cardiac failure congestive,"2022, 11, 18","2010, 3, 1"
bromocriptine,Cardiac valve disease,"2021, 12, 30","2002, 10, 23"
bromocriptine,Myocardial infarction,"2022, 11, 18","2007, 6, 27"
bromocriptine,Pericardial effusion,"2008, 10, 18","2008, 10, 18"
bromocriptine,Pericarditis,"2011, 1, 1","2006, 4, 15"
bromocriptine,Pericarditis constrictive,"2011, 1, 1","2011, 1, 1"
bromocriptine,Tachycardia,"2022, 8, 13","2000, 3, 18"
bromocriptine,Ventricular tachycardia,"2019, 11, 15","2003, 5, 20"
bromocriptine,Bradycardia,"2002, 2, 28","2000, 3, 18"
budesonide,Cardiac disorder,"2022, 6, 15","2001, 7, 14"
budesonide,Tachycardia,"2022, 2, 25","2006, 8, 9"
bupivacaine,Cardiac output decreased,"2022, 2, 5","2000, 10, 26"
bupivacaine,Cardiac arrest,"2022, 9, 29","2009, 9, 19"
bupivacaine,Cardiac disorder,"2022, 10, 19","2015, 10, 7"
bupivacaine,Tachycardia,"2022, 10, 22","2000, 1, 19"
bupivacaine,Ventricular tachycardia,"2021, 7, 28","2000, 8, 29"
bupivacaine,Sinus bradycardia,"2021, 9, 14","2003, 1, 7"
bupivacaine,Cardiac fibrillation,"2022, 4, 2","2000, 10, 26"
bupivacaine,Bradycardia,"2022, 12, 1","2016, 3, 10"
bupivacaine,Cardiovascular disorder,"2022, 11, 10","2017, 12, 24"
bupivacaine,Electrocardiogram abnormal,"2020, 8, 20","2000, 10, 26"
buprenorphine,Cardiac disorder,"2022, 11, 12","2002, 10, 11"
buprenorphine,Tachycardia,"2022, 11, 27","2005, 5, 7"
buprenorphine,Bradycardia,"2022, 10, 18","2004, 3, 17"
buprenorphine,Cardiovascular disorder,"2022, 9, 27","2010, 3, 10"
buprenorphine,Electrocardiogram QT corrected interval prolonged,"2018, 8, 3","2009, 4, 28"
buprenorphine,Electrocardiogram QT prolonged,"2021, 12, 6","2006, 3, 2"
buspirone,Cardiac failure congestive,"2020, 5, 23","2020, 5, 23"
buspirone,Myocardial infarction,"2019, 5, 8","2002, 12, 12"
buspirone,Tachycardia,"2020, 1, 28","2004, 6, 10"
buspirone,Bradycardia,"2020, 5, 12","2001, 4, 24"
buspirone,Electrocardiogram change,NA,#N/A
buspirone,Cardiomyopathy,"2012, 8, 28","2012, 8, 28"
butabarbital,Bradycardia,NA,#N/A
butorphanol,Tachycardia,"2022, 5, 17","2015, 12, 25"
cabergoline,Cardiac disorder,"2022, 7, 3","2008, 5, 9"
cabergoline,Cardiac failure,"2022, 11, 24","2002, 10, 25"
cabergoline,Cardiac valve disease,"2022, 6, 8","2007, 4, 21"
cabergoline,Pericardial effusion,"2007, 10, 9","2007, 10, 9"
cabergoline,Pericarditis,"2009, 1, 27","2004, 7, 16"
cabergoline,Pericarditis constrictive,"2008, 3, 26","2004, 7, 16"
caffeine,Cardiac disorder,"2022, 11, 8","2020, 2, 18"
caffeine,Tachycardia,"2022, 10, 28","2015, 6, 11"
verapamil,Hypertrophic cardiomyopathy,"2022, 6, 8","2000, 2, 1"
verapamil,Cardiac flutter,"2022, 8, 13","2000, 2, 15"
verapamil,Cardiac arrest,"2022, 5, 15","2000, 1, 13"
verapamil,Cardiac failure,"2022, 11, 1","2012, 2, 15"
verapamil,Myocardial infarction,"2022, 11, 4","2009, 8, 12"
verapamil,Tachycardia,"2022, 11, 29","2016, 10, 28"
verapamil,Bradycardia,"2022, 7, 2","2001, 2, 24"
verapamil,Electrocardiogram abnormal,"2022, 6, 1","2000, 9, 15"
carbamazepine,Cardiac arrest,"2022, 6, 28","2001, 7, 4"
carbamazepine,Cardiac disorder,"2022, 9, 8","2006, 7, 13"
carbamazepine,Cardiac failure,"2021, 3, 19","2000, 6, 24"
carbamazepine,Cardiac failure congestive,"2021, 3, 19","2000, 6, 24"
carbamazepine,Tachycardia,"2022, 3, 13","2000, 3, 4"
carbamazepine,Bradycardia,"2022, 9, 8","2001, 1, 9"
carbamazepine,Electrocardiogram QRS complex,"2016, 7, 3","2007, 8, 30"
carbinoxamine,Tachycardia,NA,#N/A
carteolol,Cardiac failure congestive,"2003, 9, 13","2003, 9, 13"
carteolol,Bradycardia,"2020, 10, 12","2020, 10, 12"
carvedilol,Cardiovascular disorder,"2022, 11, 20","2020, 9, 30"
carvedilol,Cardiac arrest,"2022, 10, 12","2000, 6, 22"
carvedilol,Cardiac failure,"2022, 12, 6","2020, 4, 30"
carvedilol,Myocardial infarction,"2022, 11, 20","2012, 11, 20"
carvedilol,Cardiogenic shock,"2020, 6, 26","2002, 10, 23"
carvedilol,Tachycardia,"2022, 9, 10","2000, 6, 1"
carvedilol,Ventricular tachycardia,"2022, 9, 10","2000, 6, 1"
carvedilol,Sinus bradycardia,"2016, 5, 18","2003, 5, 2"
carvedilol,Myocardial ischaemia,"2022, 11, 29","2013, 7, 26"
carvedilol,Acute myocardial infarction,"2022, 11, 10","2004, 5, 18"
carvedilol,Ischaemic cardiomyopathy,"2021, 8, 18","2000, 3, 4"
carvedilol,Bradycardia,"2022, 12, 6","2000, 5, 10"
carvedilol,Cardioactive drug level increased,"2022, 10, 18","2013, 11, 13"
celecoxib,Cardiac disorder,"2022, 9, 21","2010, 2, 17"
celecoxib,Cardiac failure,"2022, 9, 6","2000, 1, 11"
celecoxib,Cardiac failure congestive,"2022, 9, 6","2000, 1, 11"
celecoxib,Myocardial infarction,"2022, 9, 21","2007, 8, 28"
celecoxib,Tachycardia,"2002, 6, 28","2002, 6, 28"
celecoxib,Sinus bradycardia,NA,#N/A
celiprolol,Cardiac failure,"2010, 4, 20","2000, 4, 1"
celiprolol,Tachycardia,"2016, 7, 16","2016, 7, 16"
celiprolol,Bradycardia,"2006, 3, 2","2006, 3, 2"
cetirizine,Cardiac disorder,"2020, 11, 4","2001, 3, 10"
cetirizine,Cardiac failure,"2013, 3, 12","2010, 5, 12"
cetirizine,Tachycardia,"2021, 9, 4","2000, 6, 7"
cevimeline,Cardiovascular disorder,"2015, 5, 8","2015, 5, 8"
cevimeline,Cardiac disorder,NA,#N/A
cevimeline,Cardiomegaly,NA,#N/A
cevimeline,Cardiac murmur,NA,#N/A
cevimeline,Myocardial infarction,NA,#N/A
cevimeline,Pericarditis,NA,#N/A
cevimeline,Tachycardia,"2022, 6, 29","2022, 6, 29"
cevimeline,Supraventricular tachycardia,NA,#N/A
cevimeline,Electrocardiogram T wave inversion,NA,#N/A
cevimeline,Electrocardiogram abnormal,NA,#N/A
chlorpheniramine,Tachycardia,"2022, 6, 10","2001, 10, 13"
chlorpromazine,Cardiac arrest,"2018, 11, 9","2001, 10, 24"
chlorpromazine,Tachycardia,"2022, 7, 2","2000, 3, 31"
cilostazol,Cardiac arrest,"2022, 11, 17","2004, 2, 18"
cilostazol,Cardiac disorder,"2022, 11, 24","2014, 5, 30"
cilostazol,Cardiac failure,"2022, 6, 25","2001, 3, 17"
cilostazol,Cardiac failure congestive,"2022, 6, 25","2001, 3, 17"
cilostazol,Myocardial infarction,"2022, 11, 27","2012, 3, 8"
cilostazol,Tachycardia,"2022, 4, 8","2001, 5, 18"
cilostazol,Supraventricular tachycardia,"2016, 8, 18","2016, 8, 18"
cilostazol,Ventricular tachycardia,"2022, 4, 8","2002, 6, 22"
cilostazol,Myocardial ischaemia,"2022, 11, 24","2013, 10, 3"
cilostazol,Electrocardiogram QT corrected interval prolonged,"2016, 6, 9","2016, 6, 9"
cilostazol,Electrocardiogram QT prolonged,"2016, 6, 9","2016, 6, 9"
cimetidine,Tachycardia,"2022, 10, 14","2000, 8, 6"
cimetidine,Sinus bradycardia,NA,#N/A
cimetidine,Bradycardia,"2015, 6, 24","2000, 8, 6"
ciprofloxacin,Cardiac arrest,"2022, 8, 3","2003, 6, 18"
ciprofloxacin,Cardiac disorder,"2022, 10, 27","2014, 8, 6"
ciprofloxacin,Cardiac murmur,"2021, 5, 5","2005, 3, 31"
ciprofloxacin,Myocardial infarction,"2022, 7, 28","2000, 5, 16"
ciprofloxacin,Pericarditis,"2022, 6, 9","2002, 2, 1"
ciprofloxacin,Tachycardia,"2022, 10, 4","2002, 1, 5"
ciprofloxacin,Ventricular tachycardia,"2021, 1, 7","2002, 4, 2"
ciprofloxacin,Bradycardia,"2022, 7, 15","2008, 3, 6"
ciprofloxacin,Cardio-respiratory arrest,"2022, 8, 3","2005, 4, 27"
citalopram,Cardiovascular disorder,"2022, 11, 19","2018, 5, 20"
citalopram,Cardiac arrest,"2022, 11, 12","2002, 1, 5"
citalopram,Cardiac disorder,"2022, 8, 15","2016, 5, 14"
citalopram,Cardiac failure,"2021, 8, 18","2003, 4, 3"
citalopram,Myocardial infarction,"2022, 10, 15","2002, 8, 15"
citalopram,Tachycardia,"2022, 11, 12","2001, 10, 18"
citalopram,Sinus tachycardia,"2021, 11, 25","2008, 6, 24"
citalopram,Myocardial ischaemia,"2022, 5, 27","2002, 8, 15"
citalopram,Electrocardiogram QT prolonged,"2022, 8, 6","2003, 9, 13"
citalopram,Pericardial disease,NA,#N/A
citalopram,Bradycardia,"2022, 11, 10","2002, 1, 17"
citalopram,Electrocardiogram abnormal,"2022, 8, 6","2001, 6, 8"
citalopram,Myocarditis,"2021, 10, 9","2021, 10, 9"
citalopram,Ventricular tachycardia,"2022, 11, 12","2001, 10, 18"
citalopram,Sinus bradycardia,"2011, 3, 5","2000, 8, 25"
citalopram,Electrocardiogram PR shortened,"2008, 7, 10","2008, 7, 10"
clemastine,Tachycardia,"2020, 11, 4","2001, 7, 17"
clomipramine,Cardiac arrest,"2016, 10, 1","2007, 9, 4"
clomipramine,Cardiac disorder,"2020, 12, 12","2000, 4, 4"
clomipramine,Cardiac failure,"2022, 3, 2","2022, 3, 2"
clomipramine,Cardiac failure congestive,"2022, 3, 2","2022, 3, 2"
clomipramine,Myocardial infarction,"2020, 4, 7","2004, 11, 24"
clomipramine,Tachycardia,"2019, 3, 8","2000, 8, 22"
clomipramine,Sinus tachycardia,"2007, 4, 5","2007, 4, 5"
clomipramine,Ventricular tachycardia,"2013, 1, 12","2000, 8, 22"
clomipramine,Myocardial ischaemia,"2020, 4, 7","2006, 6, 21"
clomipramine,Bradycardia,"2013, 1, 12","2013, 1, 12"
clomipramine,Electrocardiogram QRS complex,"2013, 12, 19","2013, 12, 19"
clomipramine,Electrocardiogram abnormal,"2016, 10, 1","2000, 5, 29"
clomipramine,Electrocardiogram QT corrected interval prolonged,"2013, 7, 17","2005, 4, 23"
clomipramine,Electrocardiogram QT prolonged,"2016, 10, 1","2008, 7, 19"
clomipramine,Cardiomyopathy,"2019, 2, 13","2005, 8, 9"
clonidine,Cardiac disorder,"2022, 7, 9","2013, 10, 8"
clonidine,Cardiac failure congestive,"2022, 11, 29","2000, 5, 19"
clonidine,Tachycardia,"2022, 11, 17","2000, 4, 25"
clonidine,Sinus bradycardia,"2019, 8, 25","2002, 10, 12"
clonidine,Electrocardiogram QT prolonged,"2021, 2, 20","2004, 11, 6"
clonidine,Bradycardia,"2022, 12, 1","2015, 9, 12"
clonidine,Electrocardiogram abnormal,"2021, 5, 2","2006, 2, 21"
clonidine,Junctional bradycardia,NA,#N/A
clozapine,Cardiac arrest,"2022, 6, 7","2000, 3, 11"
clozapine,Cardiac disorder,"2022, 11, 11","2018, 10, 17"
clozapine,Cardiac failure,"2022, 7, 7","2004, 3, 5"
