drug_name,target
ondansetron,rotigotine
cabergoline,molindone
haloperidol,amoxapine
clozapine,doxepin
ondansetron,desipramine
methysergide,lurasidone
haloperidol,trazodone
doxepin,iloperidone
amitriptyline,bromocriptine
penbutolol,rotigotine
desipramine,lurasidone
haloperidol,asenapine
amoxapine,pindolol
imipramine,bromocriptine
lisuride,rotigotine
lisuride,desipramine
propranolol,lurasidone
cabergoline,pindolol
methysergide,amoxapine
trazodone,paliperidone
doxepin,paliperidone
amitriptyline,clozapine
clozapine,nefazodone
methysergide,trazodone
amoxapine,rotigotine
amoxapine,desipramine
cabergoline,desipramine
methysergide,asenapine
trimipramine,asenapine
nortriptyline,doxepin
ziprasidone,penbutolol
loxapine,lisuride
propranolol,trazodone
desipramine,asenapine
haloperidol,penbutolol
buspirone,molindone
propranolol,asenapine
pindolol,lurasidone
aripiprazole,iloperidone
amitriptyline,nefazodone
ziprasidone,aripiprazole
nortriptyline,nefazodone
methysergide,penbutolol
buspirone,pindolol
haloperidol,molindone
nortriptyline,quetiapine
doxepin,lurasidone
amitriptyline,lisuride
cabergoline,chlorpromazine
trazodone,mianserin
chlorpromazine,trimipramine
imipramine,lisuride
nefazodone,paliperidone
desipramine,penbutolol
propranolol,penbutolol
cabergoline,quetiapine
buspirone,desipramine
pindolol,asenapine
haloperidol,pindolol
trimipramine,molindone
methysergide,molindone
ziprasidone,rotigotine
risperidone,mianserin
clozapine,haloperidol
amoxapine,propranolol
cabergoline,amitriptyline
cabergoline,propranolol
propranolol,molindone
haloperidol,desipramine
rotigotine,mianserin
trimipramine,pindolol
methysergide,pindolol
loxapine,mianserin
molindone,rotigotine
aripiprazole,lurasidone
ondansetron,paliperidone
pindolol,penbutolol
propranolol,pindolol
trimipramine,desipramine
methysergide,desipramine
amitriptyline,haloperidol
nortriptyline,iloperidone
imipramine,buspirone
nefazodone,mianserin
desipramine,rotigotine
doxepin,penbutolol
nortriptyline,ondansetron
propranolol,desipramine
pindolol,molindone
cabergoline,iloperidone
imipramine,mianserin
iloperidone,asenapine
amoxapine,paliperidone
aripiprazole,asenapine
buspirone,propranolol
cabergoline,ondansetron
cabergoline,paliperidone
chlorpromazine,doxepin
cabergoline,loxapine
doxepin,aripiprazole
trazodone,aripiprazole
methysergide,chlorpromazine
trazodone,risperidone
haloperidol,propranolol
clozapine,amoxapine
ondansetron,mianserin
trimipramine,quetiapine
pindolol,desipramine
clozapine,trazodone
aripiprazole,penbutolol
bromocriptine,molindone
chlorpromazine,nefazodone
penbutolol,mianserin
clozapine,asenapine
methysergide,amitriptyline
lisuride,mianserin
methysergide,propranolol
nortriptyline,lurasidone
ziprasidone,imipramine
chlorpromazine,quetiapine
buspirone,iloperidone
doxepin,rotigotine
ziprasidone,lisuride
loxapine,nortriptyline
buspirone,paliperidone
amitriptyline,amoxapine
cabergoline,lurasidone
amoxapine,mianserin
nortriptyline,amoxapine
loxapine,trimipramine
clozapine,trimipramine
haloperidol,iloperidone
nortriptyline,trazodone
ziprasidone,cabergoline
nefazodone,aripiprazole
quetiapine,asenapine
haloperidol,paliperidone
methysergide,imipramine
nortriptyline,asenapine
trimipramine,iloperidone
methysergide,iloperidone
paliperidone,molindone
trazodone,bromocriptine
imipramine,nortriptyline
aripiprazole,rotigotine
imipramine,risperidone
clozapine,molindone
trimipramine,ondansetron
amitriptyline,trimipramine
trimipramine,paliperidone
methysergide,paliperidone
methysergide,cabergoline
imipramine,trimipramine
methysergide,loxapine
chlorpromazine,iloperidone
ziprasidone,buspirone
desipramine,paliperidone
chlorpromazine,haloperidol
buspirone,lurasidone
nortriptyline,penbutolol
propranolol,paliperidone
chlorpromazine,ondansetron
ondansetron,aripiprazole
clozapine,pindolol
ziprasidone,mianserin
bromocriptine,quetiapine
cabergoline,penbutolol
amitriptyline,molindone
quetiapine,molindone
risperidone,doxepin
lisuride,risperidone
pindolol,iloperidone
trazodone,nefazodone
methysergide,buspirone
molindone,mianserin
loxapine,doxepin
amoxapine,aripiprazole
amitriptyline,pindolol
nefazodone,bromocriptine
pindolol,paliperidone
trimipramine,lurasidone
cabergoline,aripiprazole
nortriptyline,pindolol
amoxapine,risperidone
methysergide,mianserin
risperidone,nefazodone
desipramine,mianserin
risperidone,quetiapine
chlorpromazine,lurasidone
propranolol,mianserin
nortriptyline,desipramine
loxapine,nefazodone
clozapine,chlorpromazine
buspirone,penbutolol
amitriptyline,doxepin
cabergoline,rotigotine
loxapine,quetiapine
bromocriptine,iloperidone
clozapine,quetiapine
imipramine,doxepin
chlorpromazine,amoxapine
ondansetron,bromocriptine
chlorpromazine,trazodone
clozapine,propranolol
buspirone,aripiprazole
chlorpromazine,asenapine
lisuride,bromocriptine
amitriptyline,chlorpromazine
buspirone,risperidone
imipramine,nefazodone
ziprasidone,nortriptyline
aripiprazole,paliperidone
amitriptyline,quetiapine
trimipramine,penbutolol
ziprasidone,risperidone
haloperidol,aripiprazole
amoxapine,bromocriptine
doxepin,mianserin
ziprasidone,trimipramine
haloperidol,risperidone
amitriptyline,propranolol
buspirone,rotigotine
paliperidone,iloperidone
risperidone,ondansetron
chlorpromazine,penbutolol
nortriptyline,propranolol
clozapine,iloperidone
trimipramine,aripiprazole
methysergide,aripiprazole
loxapine,haloperidol
methysergide,nortriptyline
bromocriptine,lurasidone
methysergide,risperidone
loxapine,ondansetron
clozapine,ondansetron
haloperidol,rotigotine
clozapine,paliperidone
desipramine,aripiprazole
lisuride,nefazodone
chlorpromazine,molindone
propranolol,aripiprazole
clozapine,loxapine
propranolol,risperidone
iloperidone,lurasidone
amoxapine,nefazodone
aripiprazole,mianserin
trimipramine,rotigotine
methysergide,rotigotine
amitriptyline,iloperidone
buspirone,bromocriptine
chlorpromazine,pindolol
quetiapine,iloperidone
bromocriptine,asenapine
cabergoline,imipramine
amitriptyline,ondansetron
imipramine,haloperidol
amoxapine,lisuride
amitriptyline,paliperidone
ziprasidone,bromocriptine
quetiapine,paliperidone
propranolol,rotigotine
cabergoline,lisuride
nortriptyline,paliperidone
chlorpromazine,desipramine
pindolol,aripiprazole
haloperidol,bromocriptine
paliperidone,lurasidone
ziprasidone,clozapine
clozapine,lurasidone
ziprasidone,doxepin
bromocriptine,penbutolol
methysergide,bromocriptine
risperidone,asenapine
loxapine,amoxapine
pindolol,rotigotine
trazodone,trimipramine
desipramine,bromocriptine
loxapine,trazodone
paliperidone,asenapine
methysergide,clozapine
propranolol,bromocriptine
ziprasidone,nefazodone
rotigotine,asenapine
loxapine,asenapine
amitriptyline,lurasidone
buspirone,lisuride
quetiapine,lurasidone
cabergoline,buspirone
nortriptyline,mianserin
trazodone,molindone
haloperidol,lisuride
cabergoline,mianserin
imipramine,amoxapine
chlorpromazine,propranolol
amitriptyline,trazodone
paliperidone,penbutolol
imipramine,trazodone
pindolol,bromocriptine
bromocriptine,rotigotine
amitriptyline,asenapine
clozapine,penbutolol
imipramine,asenapine
risperidone,molindone
methysergide,lisuride
doxepin,bromocriptine
iloperidone,rotigotine
loxapine,molindone
propranolol,lisuride
risperidone,pindolol
clozapine,aripiprazole
amitriptyline,penbutolol
quetiapine,penbutolol
ziprasidone,haloperidol
trazodone,doxepin
buspirone,mianserin
lisuride,trazodone
loxapine,pindolol
risperidone,desipramine
chlorpromazine,paliperidone
penbutolol,asenapine
nefazodone,molindone
paliperidone,rotigotine
clozapine,rotigotine
loxapine,desipramine
amitriptyline,aripiprazole
clozapine,desipramine
imipramine,molindone
haloperidol,mianserin
quetiapine,aripiprazole
nortriptyline,aripiprazole
doxepin,nefazodone
nortriptyline,risperidone
lisuride,trimipramine
trazodone,quetiapine
imipramine,pindolol
cabergoline,nortriptyline
trimipramine,mianserin
cabergoline,risperidone
chlorpromazine,buspirone
ondansetron,molindone
amoxapine,trimipramine
amitriptyline,rotigotine
quetiapine,rotigotine
cabergoline,trimipramine
amitriptyline,desipramine
nortriptyline,rotigotine
imipramine,desipramine
penbutolol,molindone
chlorpromazine,mianserin
loxapine,chlorpromazine
lisuride,molindone
ziprasidone,amoxapine
amoxapine,molindone
ziprasidone,trazodone
bromocriptine,paliperidone
lisuride,pindolol
loxapine,propranolol
ziprasidone,asenapine
buspirone,nortriptyline
pindolol,mianserin
nefazodone,quetiapine
trazodone,iloperidone
imipramine,chlorpromazine
nortriptyline,bromocriptine
ondansetron,doxepin
buspirone,trimipramine
trazodone,ondansetron
imipramine,quetiapine
molindone,asenapine
haloperidol,nortriptyline
risperidone,iloperidone
cabergoline,bromocriptine
mianserin,asenapine
amitriptyline,amoxapine
loxapine,imipramine
amitriptyline,dopamine
chlorpromazine,desipramine
amoxapine,mianserin
nortriptyline,amoxapine
dopamine,desipramine
loxapine,trimipramine
imipramine,dopamine
dopamine,mianserin
amoxapine,doxepin
cabergoline,doxepin
methysergide,imipramine
methysergide,trimipramine
loxapine,amoxapine
chlorpromazine,nortriptyline
amitriptyline,imipramine
imipramine,nortriptyline
amitriptyline,trimipramine
methysergide,cabergoline
imipramine,trimipramine
methysergide,loxapine
methysergide,amoxapine
trimipramine,dopamine
nortriptyline,mianserin
amitriptyline,loxapine
amoxapine,desipramine
cabergoline,desipramine
nortriptyline,doxepin
cabergoline,mianserin
imipramine,amoxapine
chlorpromazine,dopamine
loxapine,doxepin
methysergide,mianserin
cabergoline,chlorpromazine
chlorpromazine,trimipramine
desipramine,mianserin
trimipramine,doxepin
methysergide,doxepin
amitriptyline,mianserin
nortriptyline,desipramine
amitriptyline,doxepin
amoxapine,dopamine
imipramine,doxepin
chlorpromazine,amoxapine
cabergoline,amitriptyline
loxapine,desipramine
loxapine,mianserin
amitriptyline,chlorpromazine
trimipramine,desipramine
methysergide,desipramine
cabergoline,nortriptyline
trimipramine,mianserin
doxepin,desipramine
amoxapine,trimipramine
doxepin,mianserin
amitriptyline,desipramine
cabergoline,trimipramine
imipramine,desipramine
chlorpromazine,mianserin
loxapine,chlorpromazine
imipramine,mianserin
nortriptyline,dopamine
methysergide,nortriptyline
chlorpromazine,doxepin
cabergoline,loxapine
cabergoline,amoxapine
cabergoline,dopamine
dopamine,doxepin
methysergide,chlorpromazine
amitriptyline,nortriptyline
loxapine,dopamine
imipramine,chlorpromazine
nortriptyline,trimipramine
methysergide,amitriptyline
methysergide,dopamine
cabergoline,imipramine
loxapine,nortriptyline
methylphenidate,chlorpromazine
trazodone,vilazodone
amitriptyline,amoxapine
chlorpromazine,desipramine
amitriptyline,dopamine
amoxapine,mianserin
desipramine,vilazodone
nortriptyline,amoxapine
amitriptyline,vilazodone
dopamine,desipramine
imipramine,dopamine
dopamine,mianserin
nortriptyline,vilazodone
nortriptyline,trazodone
amoxapine,doxepin
methylphenidate,dopamine
amitriptyline,methylphenidate
chlorpromazine,nortriptyline
amitriptyline,imipramine
imipramine,nortriptyline
trazodone,trimipramine
pindolol,dopamine
amitriptyline,trimipramine
amoxapine,pindolol
imipramine,trimipramine
trimipramine,dopamine
methylphenidate,nortriptyline
nortriptyline,mianserin
trimipramine,vilazodone
nefazodone,vilazodone
amoxapine,desipramine
doxepin,vilazodone
methylphenidate,trimipramine
nortriptyline,doxepin
imipramine,amoxapine
chlorpromazine,dopamine
amitriptyline,trazodone
imipramine,vilazodone
imipramine,trazodone
trazodone,nefazodone
methylphenidate,amoxapine
amitriptyline,nefazodone
amitriptyline,pindolol
methylphenidate,vilazodone
nortriptyline,nefazodone
methylphenidate,trazodone
nortriptyline,pindolol
trazodone,mianserin
pindolol,vilazodone
chlorpromazine,trimipramine
desipramine,mianserin
trimipramine,doxepin
amitriptyline,mianserin
nortriptyline,desipramine
trazodone,doxepin
methylphenidate,imipramine
amitriptyline,doxepin
amoxapine,dopamine
imipramine,doxepin
chlorpromazine,amoxapine
amoxapine,vilazodone
chlorpromazine,vilazodone
trimipramine,nefazodone
chlorpromazine,trazodone
trimipramine,pindolol
dopamine,vilazodone
doxepin,nefazodone
methylphenidate,doxepin
trazodone,pindolol
amitriptyline,chlorpromazine
imipramine,nefazodone
trimipramine,desipramine
imipramine,pindolol
trimipramine,mianserin
pindolol,doxepin
doxepin,desipramine
trazodone,desipramine
nefazodone,mianserin
amoxapine,trimipramine
doxepin,mianserin
amitriptyline,desipramine
methylphenidate,nefazodone
imipramine,desipramine
methylphenidate,pindolol
chlorpromazine,mianserin
imipramine,mianserin
nortriptyline,dopamine
pindolol,nefazodone
chlorpromazine,doxepin
methylphenidate,desipramine
dopamine,doxepin
amoxapine,trazodone
methylphenidate,mianserin
amitriptyline,nortriptyline
pindolol,desipramine
pindolol,mianserin
amoxapine,nefazodone
chlorpromazine,nefazodone
imipramine,chlorpromazine
nortriptyline,trimipramine
chlorpromazine,pindolol
mianserin,vilazodone
dopamine,nefazodone
nefazodone,desipramine
trazodone,dopamine
aripiprazole,molindone
ondansetron,aripiprazole
haloperidol,pindolol
trimipramine,molindone
pindolol,aripiprazole
haloperidol,trimipramine
lisuride,molindone
nefazodone,molindone
haloperidol,lisuride
ondansetron,nefazodone
trimipramine,aripiprazole
pindolol,nefazodone
ondansetron,pindolol
lisuride,aripiprazole
haloperidol,ondansetron
propranolol,molindone
nefazodone,aripiprazole
trimipramine,nefazodone
trimipramine,pindolol
lisuride,nefazodone
propranolol,aripiprazole
lisuride,pindolol
haloperidol,propranolol
propranolol,nefazodone
lisuride,trimipramine
propranolol,pindolol
haloperidol,molindone
trimipramine,ondansetron
propranolol,trimipramine
lisuride,ondansetron
propranolol,lisuride
haloperidol,aripiprazole
ondansetron,molindone
propranolol,ondansetron
pindolol,molindone
haloperidol,nefazodone
buspirone,penbutolol
pindolol,aripiprazole
ergotamine,pindolol
ergotamine,quetiapine
trazodone,ergotamine
buspirone,trazodone
trazodone,aripiprazole
buspirone,ergotamine
ergotamine,penbutolol
pindolol,quetiapine
quetiapine,aripiprazole
buspirone,aripiprazole
trazodone,pindolol
pindolol,penbutolol
trazodone,quetiapine
aripiprazole,penbutolol
buspirone,pindolol
buspirone,quetiapine
trazodone,penbutolol
ergotamine,aripiprazole
quetiapine,penbutolol
eletriptan,pergolide
lisuride,naratriptan
dihydroergotamine,rizatriptan
lisuride,ergotamine
ergotamine,bromocriptine
almotriptan,pergolide
zolmitriptan,almotriptan
ondansetron,pindolol
ziprasidone,cabergoline
methysergide,rizatriptan
zolmitriptan,frovatriptan
dihydroergotamine,bromocriptine
eletriptan,bromocriptine
eletriptan,lisuride
amitriptyline,pergolide
ergotamine,almotriptan
methysergide,bromocriptine
ergotamine,frovatriptan
sumatriptan,pindolol
eletriptan,ziprasidone
dihydroergotamine,almotriptan
ziprasidone,methysergide
dihydroergotamine,frovatriptan
eletriptan,cabergoline
amitriptyline,bromocriptine
zolmitriptan,pergolide
methysergide,almotriptan
methysergide,cabergoline
naratriptan,frovatriptan
ziprasidone,pindolol
sumatriptan,apomorphine
cabergoline,pindolol
rizatriptan,pindolol
ergotamine,pergolide
eletriptan,methysergide
apomorphine,pindolol
zolmitriptan,lisuride
frovatriptan,pergolide
dihydroergotamine,pergolide
ziprasidone,apomorphine
zolmitriptan,apomorphine
cabergoline,apomorphine
sumatriptan,naratriptan
eletriptan,pindolol
sumatriptan,ergotamine
methysergide,pergolide
lisuride,rizatriptan
naratriptan,rizatriptan
pindolol,bromocriptine
frovatriptan,bromocriptine
dihydroergotamine,lisuride
almotriptan,pindolol
ziprasidone,naratriptan
pergolide,bromocriptine
cabergoline,naratriptan
eletriptan,apomorphine
ziprasidone,ergotamine
cabergoline,ergotamine
naratriptan,bromocriptine
methysergide,lisuride
ondansetron,frovatriptan
amitriptyline,pindolol
apomorphine,naratriptan
methysergide,apomorphine
pindolol,frovatriptan
lisuride,sumatriptan
lisuride,ondansetron
amitriptyline,lisuride
eletriptan,naratriptan
lisuride,almotriptan
eletriptan,ergotamine
amitriptyline,apomorphine
lisuride,frovatriptan
zolmitriptan,pindolol
amitriptyline,frovatriptan
almotriptan,naratriptan
amitriptyline,almotriptan
ziprasidone,sumatriptan
cabergoline,sumatriptan
ergotamine,pindolol
ondansetron,rizatriptan
pindolol,pergolide
amitriptyline,naratriptan
ziprasidone,amitriptyline
dihydroergotamine,pindolol
cabergoline,amitriptyline
amitriptyline,ergotamine
apomorphine,ondansetron
ondansetron,bromocriptine
lisuride,pergolide
naratriptan,pergolide
ergotamine,apomorphine
methysergide,pindolol
sumatriptan,rizatriptan
eletriptan,sumatriptan
ziprasidone,dihydroergotamine
zolmitriptan,dihydroergotamine
cabergoline,dihydroergotamine
zolmitriptan,naratriptan
dihydroergotamine,apomorphine
zolmitriptan,ergotamine
lisuride,bromocriptine
eletriptan,amitriptyline
ondansetron,almotriptan
ziprasidone,zolmitriptan
ziprasidone,rizatriptan
ergotamine,naratriptan
cabergoline,zolmitriptan
cabergoline,rizatriptan
eletriptan,dihydroergotamine
dihydroergotamine,naratriptan
sumatriptan,ondansetron
apomorphine,rizatriptan
dihydroergotamine,ergotamine
sumatriptan,almotriptan
sumatriptan,frovatriptan
methysergide,dihydroergotamine
rizatriptan,bromocriptine
methysergide,naratriptan
apomorphine,bromocriptine
eletriptan,zolmitriptan
eletriptan,rizatriptan
methysergide,ergotamine
ondansetron,pergolide
zolmitriptan,sumatriptan
ziprasidone,ondansetron
zolmitriptan,ondansetron
cabergoline,ondansetron
ziprasidone,almotriptan
ziprasidone,frovatriptan
methysergide,zolmitriptan
cabergoline,almotriptan
almotriptan,rizatriptan
cabergoline,frovatriptan
zolmitriptan,amitriptyline
rizatriptan,frovatriptan
ergotamine,ondansetron
apomorphine,almotriptan
apomorphine,frovatriptan
sumatriptan,pergolide
almotriptan,bromocriptine
